order_lat,order_lng,driver_lat,driver_lng,driver_rating,driver_count,selected
37.56796717108471,126.97014935689299,37.57247192706934,126.97316307084542,4.97,58,1
37.56796717108471,126.97014935689299,37.575473068804456,126.97993820783051,4.16,3,0
37.56796717108471,126.97014935689299,37.568721125879826,126.9699649468493,4.41,7,0
37.55906289101901,126.96082827591118,37.554336501400606,126.95137203895382,4.55,35,1
37.55906289101901,126.96082827591118,37.56359738946441,126.95877602147,5.0,36,0
37.55906289101901,126.96082827591118,37.5516636902542,126.97030238774832,4.76,74,0
37.55120871996761,126.96298384664897,37.557061206230124,126.97193996805998,4.29,121,1
37.55120871996761,126.96298384664897,37.547278478560536,126.9567804294687,4.11,70,0
37.55120871996761,126.96298384664897,37.55220215272368,126.97258710993745,4.3,71,0
37.550073040281866,126.97247933627112,37.559608107227135,126.96918754096183,4.75,92,1
37.550073040281866,126.97247933627112,37.55525824455357,126.97632802752656,4.9,167,0
37.550073040281866,126.97247933627112,37.549336273617975,126.97670221202713,4.55,106,0
37.568198823118856,126.97260030824151,37.56824481307941,126.96449000432472,4.28,193,1
37.568198823118856,126.97260030824151,37.56011321046047,126.9655053885239,4.28,75,0
37.568198823118856,126.97260030824151,37.560477459100376,126.97085823857041,4.43,175,0
37.568708064543486,126.96745055062716,37.57118456565424,126.963729913351,4.04,137,1
37.568708064543486,126.96745055062716,37.5651402283422,126.95970810116665,4.93,35,0
37.568708064543486,126.96745055062716,37.56841184100562,126.96456933941506,4.73,44,0
37.56910923846252,126.97497853898348,37.56861339191895,126.97022354053543,4.55,157,1
37.56910923846252,126.97497853898348,37.56092793425435,126.98168876991438,4.29,141,0
37.56910923846252,126.97497853898348,37.57803341403772,126.97220922137427,4.69,112,0
37.55804099224727,126.97428645825761,37.5643438896171,126.98272614914234,4.11,161,1
37.55804099224727,126.97428645825761,37.54953098924503,126.96881918567618,4.87,156,0
37.55804099224727,126.97428645825761,37.55083814859303,126.98358338387864,4.14,115,0
37.55899512141191,126.96531961111572,37.550387004589815,126.95735081864099,4.46,84,1
37.55899512141191,126.96531961111572,37.56256033426847,126.96648292149072,4.41,38,0
37.55899512141191,126.96531961111572,37.565463301456425,126.96173921021557,4.74,200,0
37.551181706079554,126.96888893207684,37.550848701168825,126.95899597935568,4.63,181,1
37.551181706079554,126.96888893207684,37.560705279793744,126.97124771500702,4.43,151,0
37.551181706079554,126.96888893207684,37.55083556343379,126.9725640652995,4.24,76,0
37.56866531742748,126.96965024292071,37.57598023220075,126.97478540209974,4.95,49,1
37.56866531742748,126.96965024292071,37.55959394143374,126.96914664905219,4.0,112,0
37.56866531742748,126.96965024292071,37.57119683266934,126.9618982753313,4.93,177,0
37.568907438926836,126.97517685511312,37.56591183196669,126.97321924140037,4.96,145,1
37.568907438926836,126.97517685511312,37.56434933962027,126.98150730074096,4.35,162,0
37.568907438926836,126.97517685511312,37.56779424778288,126.97162975612476,4.27,107,0
37.55667809110166,126.96575733895851,37.565614476311865,126.9629721081652,4.03,146,1
